,country,edu_exp_yr,edu_mean_yr,gdp_pc,female_life,male_life
99,Lebanon,13.3,8.6,7857.0,80.8,77.1
100,Mexico,13.3,8.6,9224.0,77.8,72.1
101,Palestine,12.8,8.9,,75.6,72.3
102,Oman,13.7,8.1,15170.0,80.1,75.9
103,Micronesia,11.7,9.7,,,
104,Tunisia,14.6,7.1,3494.0,78.5,74.5
105,Thailand,13.6,7.9,6579.0,80.7,73.2
106,Philippines,11.7,9.3,2982.0,75.4,67.1
107,China,13.5,7.6,8612.0,,
108,Colombia,13.6,7.6,6429.0,79.9,74.3
109,Suriname,12.7,8.3,5251.0,74.9,68.4
110,Turkmenistan,10.8,9.9,6587.0,71.6,64.6
111,India,11.7,6.3,1980.0,70.7,68.2
112,Dominican Republic,13.2,7.7,7223.0,77.2,70.8
113,Indonesia,12.9,7.9,3837.0,73.7,69.4
114,Dominica,12.8,7.9,6951.0,,
115,Gabon,12.6,8.1,7271.0,68.9,64.2
116,Viet Nam,12.6,8.0,,,
117,Libya,13.4,7.3,5791.0,75.8,69.9
118,Paraguay,12.3,8.1,5776.0,76.3,72.2
119,Kuwait,13.3,7.3,29616.0,76.5,74.7
120,Egypt,13.1,7.1,2441.0,74.2,69.6
121,Kiribati,11.9,7.8,1626.0,72.1,64.0
122,El Salvador,13.2,6.5,3883.0,77.6,68.2
123,Zambia,12.5,6.9,1535.0,66.4,60.5
124,Guyana,10.3,8.4,4671.0,73.0,66.8
125,Maldives,12.7,6.2,9802.0,,
126,Ghana,11.5,6.9,2026.0,64.9,62.7
127,Pakistan,12.1,10.1,1467.0,68.1,66.2
128,Namibia,11.7,6.7,5516.0,66.2,60.4
129,Swaziland,11.4,6.8,,,
130,Zimbabwe,10.3,7.7,1548.0,62.6,59.5
131,Nicaragua,11.7,6.5,2164.0,77.8,70.7
132,Cabo Verde,13.5,4.8,3298.0,76.0,69.3
133,Vanuatu,10.8,6.8,3022.0,72.0,68.8
134,Congo,11.1,6.3,1703.0,,
135,Honduras,11.2,6.2,2437.0,77.4,72.8
136,Kenya,11.1,6.3,1578.0,68.7,64.0
137,Sao Tome and Principe,12.0,5.3,,72.6,67.8
138,Guatemala,10.7,6.3,4471.0,76.9,71.1
139,Lesotho,10.7,6.1,1233.0,57.0,50.6
140,Morocco,12.1,5.0,3083.0,77.7,75.2
141,Iraq,10.1,6.6,5114.0,72.5,68.4
142,Timor-Leste,12.5,4.4,2377.0,,
143,Cameroon,10.4,6.1,1422.0,60.2,57.7
144,Madagascar,10.3,6.1,450.0,68.3,65.1
145,Togo,12.0,4.7,618.0,61.6,59.9
146,Angola,11.4,5.0,4096.0,63.7,58.1
147,Nigeria,10.0,6.0,1969.0,55.2,53.5
148,Democratic Republic of the Congo,9.8,6.1,,,
149,Nepal,12.2,4.1,900.0,71.9,69.0
150,Laos,10.8,5.2,2424.0,69.4,65.8
151,Comoros,11.1,4.8,1312.0,65.9,62.4
152,Uganda,10.0,5.7,631.0,65.2,60.7
153,Cambodia,10.9,4.7,1384.0,71.6,67.3
154,Bangladesh,10.2,5.2,1564.0,74.3,70.6
155,Bhutan,12.5,3.1,3391.0,71.8,71.1
156,Malawi,10.8,4.4,357.0,66.9,60.7
157,Solomon Islands,9.6,5.3,2049.0,74.7,71.2
158,Tanzania,8.9,5.8,975.0,66.8,63.2
159,Equatorial Guinea,9.2,5.5,9741.0,59.6,57.4
160,Rwanda,10.8,3.8,762.0,70.8,66.5
161,Haiti,9.1,5.2,766.0,65.8,61.5
