,country,overall_life,female_life,male_life
141,Laos,67.6,69.4,65.8
142,Fiji,67.3,69.2,65.6
143,Pakistan,67.1,68.1,66.2
144,Myanmar,66.9,69.9,63.8
145,Madagascar,66.7,68.3,65.1
146,Djibouti,66.6,68.8,64.6
147,Ethiopia,66.2,68.2,64.4
148,Gabon,66.2,68.9,64.2
149,Yemen,66.1,67.8,64.4
150,Eritrea,65.9,68.2,63.8
151,Sudan,65.1,66.9,63.3
152,Tanzania,65.0,66.8,63.2
153,Mauritania,64.7,66.3,63.1
154,Afghanistan,64.5,66.0,63.0
155,"Congo, Republic of",64.3,65.7,62.8
156,Papua New Guinea,64.3,65.6,63.0
157,Comoros,64.1,65.9,62.4
158,South Africa,63.9,67.4,60.5
159,Ghana,63.8,64.9,62.7
160,Malawi,63.8,66.9,60.7
161,Haiti,63.7,65.8,61.5
162,Liberia,63.7,65.1,62.3
163,Zambia,63.5,66.4,60.5
164,Namibia,63.4,66.2,60.4
165,Kenya,63.3,68.7,64.0
166,Uganda,63.0,65.2,60.7
167,Niger,62.0,63.2,60.9
168,Gambia,61.7,63.2,60.4
169,Benin,61.5,63.0,59.9
170,Burkina Faso,61.2,61.9,60.4
171,Burundi,61.2,63.0,59.4
172,Guinea,61.2,61.7,60.5
173,Sub-Saharan Africa,61.2,62.9,59.4
174,Zimbabwe,61.2,62.6,59.5
175,Angola,60.8,63.7,58.1
176,Togo,60.8,61.6,59.9
177,"Congo, Democratic Republic of the",60.4,61.9,58.9
178,Mozambique,60.2,63.0,57.1
179,Eswatini,59.4,64.0,55.3
180,Mali,58.9,59.6,58.1
181,Cameroon,58.9,60.2,57.7
182,Equatorial Guinea,58.4,59.6,57.4
183,Guinea-Bissau,58.0,59.9,56.0
184,South Sudan,57.6,59.1,56.1
185,Côte d'Ivoire,57.4,58.7,56.3
186,Nigeria,54.3,55.2,53.5
187,Sierra Leone,54.3,55.1,53.5
188,Chad,54.0,55.4,52.6
189,Lesotho,53.7,57.0,50.6
190,Central African Republic,52.8,55.0,50.6
